original_index,dialog_id,turn,utterance,mistral_category,mistral_strategy,qwen_strategy
5721,20180825-060648_863_live,8,I don't mean to repeat myself but how much would you like to donate to the charity now?,Call to Action,Call to Action,Activation of Personal Commitment
5723,20180825-060648_863_live,9,Great! Thank you for helping...save the children.The research team will collect all donations and send it to Save the Children.,Conversation Management,Acknowledgement,Acknowledgement
5725,20180825-053544_897_live,0,Hi! Good morning!,Conversation Management,Greeting / Rapport,Greeting / Rapport
5727,20180825-053544_897_live,1,I am good! I am trying to get my friends and others to donate their payment from this task to Save the Children. Save the Children is reputable and every dollar they raise goes to feed families.,Authority / Expertise,Credibility Appeal,Credibility Appeal
5729,20180825-053544_897_live,2,"Save the Children works for 18 countries in Africa, 5 countries in the Middle East and India and Pakistan. ",Rational / Impact Appeal,Rational Appeal,Credibility Appeal
5731,20180825-053544_897_live,3,5.00 a week would feed one family for a week. Do you spend 5.00 a week on a coffee?,Rational / Impact Appeal,Rational Appeal,Framing
5733,20180825-053544_897_live,4,Then would you be willing to donate all of the money you make on this hit to the organization? You could always donate more. It is our moral responsibility to help feed the hungry.,Norms / Morality / Values,Moral Appeal,Moral Appeal
5735,20180825-053544_897_live,5,"That's awesome! We are so lucky to live in a country where there is help available to us such as Medicaid, food banks and other organizations to help us. It is so unfair that any person in any country can go hungry,",Norms / Morality / Values,Appeal to Values,Moral Appeal
5737,20180825-053544_897_live,6,"Yes, we do. I hope that each of us can make a conscious decision to start donating some of our paychecks each week to help children and families around the world.",Norms / Morality / Values,Appeal to Values,Moral Appeal
5739,20180825-053544_897_live,7,That is great!! That is what we need! Do you live in the United States?,Conversation Management,Qualification / Segmentation,Qualification / Segmentation
5741,20180825-053544_897_live,8,"Me too! I am going to Kenya in December and I may try to see if there is anywhere there that I can donate some money. Wait, I should just go through Save the Children since I know they are reputable.",Authority / Expertise,Credibility Appeal,
5743,20180825-053544_897_live,9,"Exactly! Well, it was nice to meet you and thank you for agreeing to donate today!",Conversation Management,Acknowledgement,Acknowledgement
5745,20180825-071757_571_live,0,Hello. There?,Conversation Management,Greeting / Rapport,Greeting / Rapport
5747,20180825-071757_571_live,1,That's nice. Have you ever donated to any charity?,Conversation Management,Donation Baseline / Habit Probe,Donation Baseline / Habit Probe
5749,20180825-071757_571_live,2,I regularly donate some money or things to children's charity,Social Influence,Social Proof,Social Proof
5751,20180825-071757_571_live,3,Yes. But we have to help them to support their lives,Norms / Morality / Values,Moral Appeal,Appeal to Values
5753,20180825-071757_571_live,4,Haha. So the kids will enjoy seeing him.  And i too see some people who helps the children and children's charity everyday,Social Influence,Social Proof,Greeting / Rapport
5755,20180825-071757_571_live,5,I have two sons. They are married. What is your daughter doing.?,Conversation Management,Qualification / Segmentation,Qualification / Segmentation
5757,20180825-071757_571_live,6,That's nice. You always make her to help some children and children's charity.,Commitment / Consistency,Activation of Personal Commitment,Acknowledgement
5759,20180825-071757_571_live,7,Yes. I have. They have helping tendency.,Social Influence,Social Proof,Appeal to Values
5761,20180825-071757_571_live,8,They help for children's charity.,Social Influence,Social Proof,Appeal to Values
5763,20180825-071757_571_live,9,"You try to help someone through website. But be aware, there might be some fraudulent ",Threat / Pressure,Threat,Non-persuasive Other
5765,20180825-093236_414_live,0,Have you heard much about Save the Children organization?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
5767,20180825-093236_414_live,1,"You must think well of them, then",Conversation Management,Acknowledgement,Activation of Personal Commitment
5769,20180825-093236_414_live,2,"when I was a kid, my mother was a big supporter of Save the Children, that was nearly 50 years ago!",Emotional Influence,Storytelling,Storytelling
5771,20180825-093236_414_live,3,"yes, I am",Conversation Management,Acknowledgement,Acknowledgement
5773,20180825-093236_414_live,4,there are a lot of children in need around the world,Rational / Impact Appeal,Rational Appeal,Moral Appeal
5775,20180825-093236_414_live,5,seems like more needs than ever these days,Rational / Impact Appeal,Rational Appeal,Rational Appeal
5777,20180825-093236_414_live,6,"hard for one organization to keep up, probably",Rational / Impact Appeal,Rational Appeal,Rational Appeal
5779,20180825-093236_414_live,7,but glad there are people working hard to make a difference,Emotional Influence,Emotional Appeal,Framing
5781,20180825-093236_414_live,8,so you are good to make a contribution then?,Call to Action,Call to Action,Call to Action
5783,20180825-093236_414_live,9,"great, thanks a bunch",Conversation Management,Acknowledgement,Acknowledgement
5785,20180825-055427_625_live,0,Hi friend.  Have you ever heard of Save the Children?  They're a great charity I support.  I'm earning extra money on Amazon Turk to help support them.,Conversation Management,Greeting / Rapport,Charity Awareness Probe
5787,20180825-055427_625_live,1,"That's amazing.  When you see all the crazy things happening in the world today, famine, genocide, etc. it seems so important to help.  We are so lucky to live in a country where almost everyone has at least the minimum needed for survival.  So many poor kids around the world don't have food, clothing, shelter. I'm so glad these amazing charities help those kids.   ",Emotional Influence,Empathy Appeal,Moral Appeal
5789,20180825-055427_625_live,2,"For years.  I started back in college, when an extra few dollars a month was a lot to give, and now that I've moved on in my career and life I'm thankful I'm able to give more. Plus, Save the Children is really high rated on Charity Watch.  You know some charities spend 75 percent of donations back into gathering more money and administration etc.  Save the Children is able to give away nearly everything they gather.  I just read they are going to be helping victims of the Hurricane in Hawaii.  ",Authority / Expertise,Credibility Appeal,Credibility Appeal
